what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087277413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1474087278803
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1474087281799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087289257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087289288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087289928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087290523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087293484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087306844
activated,view,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.ResultView",1474087306872
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1474087307134
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474087315873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087319327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087322965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1474087324635
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1474087327849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087331780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087333138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087337429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087337445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087338069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087338621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087341566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087364274
activated,view,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.ResultView",1474087364296
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1474087364574
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474087379727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1474087492224
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1474087495642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087499401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087506609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087510651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087510666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087511275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087511763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087514563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087530724
activated,view,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.ResultView",1474087530743
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1474087530961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087546521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087562562
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474087564499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087745818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087824368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1474087831631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087832918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087858489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474087860576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474088404211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474088408341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474088410435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474088412830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474088417432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474088417713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474088419913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474088421395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474088421457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474088422877
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474088423657
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1474088424187
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1474088424749
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1474088424749
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1474088424764
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1474088424764
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1474088424764
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1474088424764
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1474088424764
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1474088424764
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1474088424780
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1474088424780
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1474088424780
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1474088424780
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1474088424780
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1474088424780
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1474088424796
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1474088424796
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1474088424796
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1474088424796
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1474088424796
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1474088424796
stopped,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1474088424811
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1474088424811
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.403.v201108240515,"org.eclipse.wst.wsdl.ui",1474088424811
stopped,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1474088424811
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1474088424811
stopped,bundle,org.eclipse.wst.wsi,1.0.401.v201104071820,"org.eclipse.wst.wsi",1474088424811
stopped,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1474088424811
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1474088424827
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1474088424827
stopped,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1474088424827
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.ui,1.0.0.v201104110000,"org.eclipse.jpt.dbws.eclipselink.ui",1474088424827
