what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1475550615559
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1475550615559
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1475550615559
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1475550615559
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1475550615559
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1475550615559
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1475550615559
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1475550615606
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1475550615606
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1475550615606
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1475550615606
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1475550615606
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1475550615606
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1475550615606
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1475550615622
started,bundle,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse",1475550615622
os,sysinfo,,,"win32",1475550615637
arch,sysinfo,,,"x86_64",1475550615637
ws,sysinfo,,,"win32",1475550615637
locale,sysinfo,,,"en_US",1475550615637
processors,sysinfo,,,"4",1475550615637
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1475550615637
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1475550615637
java.specification.name,sysinfo,,,"Java Platform API Specification",1475550615637
java.specification.vendor,sysinfo,,,"Oracle Corporation",1475550615637
java.specification.version,sysinfo,,,"1.7",1475550615637
java.vendor,sysinfo,,,"Oracle Corporation",1475550615637
java.version,sysinfo,,,"1.7.0_79",1475550615637
java.vm.info,sysinfo,,,"mixed mode",1475550615637
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1475550615637
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1475550615637
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1475550615637
java.vm.specification.version,sysinfo,,,"1.7",1475550615637
java.vm.vendor,sysinfo,,,"Oracle Corporation",1475550615637
java.vm.version,sysinfo,,,"24.79-b02",1475550615637
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1475550616511
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1475550622423
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1475550623344
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1475550623609
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1475550623936
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1475550624155
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1475550624295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475550629209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475550666296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1475550668808
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1475550669900
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1475550670274
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1475550670415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475550677295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475550677466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475550680727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475550680883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1475550682115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475550690430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475550693784
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1475550695235
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1475550702145
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1475550702192
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1475550702239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475550702598
