what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1473733509636
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1473733509637
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1473733509639
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1473733509640
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1473733509642
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1473733509643
os,sysinfo,,,"win32",1473733509651
arch,sysinfo,,,"x86_64",1473733509651
ws,sysinfo,,,"win32",1473733509651
locale,sysinfo,,,"en_US",1473733509651
processors,sysinfo,,,"4",1473733509651
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1473733509651
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1473733509651
java.specification.name,sysinfo,,,"Java Platform API Specification",1473733509651
java.specification.vendor,sysinfo,,,"Oracle Corporation",1473733509651
java.specification.version,sysinfo,,,"1.7",1473733509651
java.vendor,sysinfo,,,"Oracle Corporation",1473733509651
java.version,sysinfo,,,"1.7.0_79",1473733509651
java.vm.info,sysinfo,,,"mixed mode",1473733509651
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1473733509651
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1473733509651
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1473733509651
java.vm.specification.version,sysinfo,,,"1.7",1473733509651
java.vm.vendor,sysinfo,,,"Oracle Corporation",1473733509651
java.vm.version,sysinfo,,,"24.79-b02",1473733509652
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1473734299168
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1473734299171
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1473734299173
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1473734299217
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1473734299219
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1473734299221
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1473734299223
