what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306369209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306369292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1475306373531
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1475306378538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1475306382751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1475306385904
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1475306395815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306418603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306418755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306424257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306424419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306491993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306501757
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1475306504433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1475306506293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306507034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306509355
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1475306511780
activated,view,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.ResultView",1475306598056
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1475306598175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306602210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306602479
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1475306608497
activated,view,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.ResultView",1475306608649
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1475306611948
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1475306619311
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1475306619317
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1475306619365
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1475306619368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1475306622322
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: SeleniumWebdriver",1475306622576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1475306626578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306633826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306640489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306645986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306655122
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1475306656974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306660505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306680554
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1475306682958
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1475306757110
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1475306761646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1475306764929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1475306768270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306773220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306783652
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1475306792802
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1475306794274
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1475306794346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306805628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1475306835174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1475306847503
