what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1475385460403
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1475385460405
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1475385460407
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1475385460408
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1475385460410
os,sysinfo,,,"win32",1475385460421
arch,sysinfo,,,"x86_64",1475385460421
ws,sysinfo,,,"win32",1475385460421
locale,sysinfo,,,"en_US",1475385460421
processors,sysinfo,,,"4",1475385460421
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1475385460422
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1475385460422
java.specification.name,sysinfo,,,"Java Platform API Specification",1475385460422
java.specification.vendor,sysinfo,,,"Oracle Corporation",1475385460422
java.specification.version,sysinfo,,,"1.7",1475385460422
java.vendor,sysinfo,,,"Oracle Corporation",1475385460422
java.version,sysinfo,,,"1.7.0_79",1475385460422
java.vm.info,sysinfo,,,"mixed mode",1475385460422
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1475385460422
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1475385460422
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1475385460422
java.vm.specification.version,sysinfo,,,"1.7",1475385460422
java.vm.vendor,sysinfo,,,"Oracle Corporation",1475385460422
java.vm.version,sysinfo,,,"24.79-b02",1475385460422
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1475385462724
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1475385469770
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1475385469777
